sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	LocationinhostName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
	Syndisyrinx punicea	RO:0002444	parasite of		Heliocidaris erythrogramma	Digestive tract	GEONAMES:2152163	SE Indian Ocean (Tasmania: Ralph's Bay)	-42.98295	147.4351		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Tetrarhynchus holothuriae	RO:0002444	parasite of		Molpadia	Body wall (?)	GEONAMES:1545739	NE Indian Ocean (Malaysian coast)	-10	70		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Thalassonema ephiacanthis	RO:0002444	parasite of		Ophiacantha antaretica	Coelomic cavity		Antartic Seas				doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Thalassonema ophioctinis	RO:0002444	parasite of		Ophiocten amitium	Coelomic cavity	GEONAMES:1545739	SW Indian Ocean(South Africa: Glendower Beacon)	-10	70		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Thyca callista	RO:0002444	parasite of		Pharia pyramidata	Attached to body surface	GEONAMES:4030875	Tropical E Pacific (coast of Mexico and central America)	30	-170		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Thyca callista	RO:0002444	parasite of		Phataria unifascialis	Attached to body surface	GEONAMES:4030875	Tropical E Pacific (coast of Mexico and central America)	30	-170		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Thyca cristallina	RO:0002444	parasite of		Linckia laevigata	Attached to body surface	GEONAMES:4030483	Tropical Indo-West Pacific (Fiji)	-45	-130		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Thyca cristallina	RO:0002444	parasite of		Linckia multiflora	Attached to body surface	GEONAMES:4030483	Tropical Indo-West Pacific (Fiji)	-45	-130		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Thyca cristallina	RO:0002444	parasite of		Linckia laevigata	Attached to body surface	GEONAMES:2164628	Tropical Indo-West Pacific (Great Barrier Reef)	-17.98722	146.76979		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Thyca cristallina	RO:0002444	parasite of		Linckia multiflora	Attached to body surface	GEONAMES:2164628	Tropical Indo-West Pacific (Great Barrier Reef)	-17.98722	146.76979		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Thyca cristallina	RO:0002444	parasite of		Linckia laevigata	Attached to body surface	GEONAMES:4030483	Tropical Indo-West Pacific (Indonesia)	-45	-130		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Thyca cristallina	RO:0002444	parasite of		Linckia multiflora	Attached to body surface	GEONAMES:4030483	Tropical Indo-West Pacific (Indonesia)	-45	-130		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Thyca cristallina	RO:0002444	parasite of		Linckia laevigata	Attached to body surface	GEONAMES:4030483	Tropical Indo-West Pacific (Paupa New Guinea)	-45	-130		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Thyca cristallina	RO:0002444	parasite of		Linckia multiflora	Attached to body surface	GEONAMES:4030483	Tropical Indo-West Pacific (Paupa New Guinea)	-45	-130		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Thyca ectoconcha	RO:0002444	parasite of		Linckia guildingi	Attached to body surface	GEONAMES:1545739	Indian Ocean (Ceylon)	-10	70		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Thyca ectoconcha	RO:0002444	parasite of		Linckia multiflora	Attached to body surface	GEONAMES:1545739	Indian Ocean (Ceylon)	-10	70		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Thyca ectoconcha	RO:0002444	parasite of		Linckia guildingi	Attached to body surface	GEONAMES:1545739	Indian Ocean (Mozambique coast)	-10	70		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Thyca ectoconcha	RO:0002444	parasite of		Linckia multiflora	Attached to body surface	GEONAMES:1545739	Indian Ocean (Mozambique coast)	-10	70		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Thyca stellasteris	RO:0002444	parasite of		Stellaster equestris	Attached to body surface	GEONAMES:1545739	Indian Ocean (Andaman Islands)	-10	70		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Thyca stellasteris	RO:0002444	parasite of		Stellaster equestris	Attached to body surface	GEONAMES:350155	Indian Ocean (Red Sea)	20.26735	38.53455		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Thyca stellasteris	RO:0002444	parasite of		Stellaster equestris	Attached to body surface	GEONAMES:1545739	Indian Ocean (West Australia)	-10	70		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Thyonicola americana	RO:0002444	parasite of		Eupentacta pseudoquinquesemita	Hanging in coelomic cavity, attached to posterior intestine	GEONAMES:4030875	NE Pacific (US and Canadian coasts)	30	-170		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
	Thyonicola americana	RO:0002444	parasite of		Eupentacta quinquesemita	Hanging in coelomic cavity, attached to posterior intestine	GEONAMES:4030875	NE Pacific (US and Canadian coasts)	30	-170		doi:10.3354/dao002205	Jangoux, M. Diseases of Echinodermata. II. Agents Metazoans (Mesozoa to Bryozoa). Diseases of Aquatic Organisms, 1986, 205-34.
